Country,Region,Subregion,Population,Country_rus
Spain,Europe,Southern Europe,46528024,Испания
Sri Lanka,Asia,Southern Asia,21444000,Шри-Ланка
Sudan,Africa,Northern Africa,40533330,Судан
Suriname,Americas,Latin America and the Caribbean,563402,Суринам
Sweden,Europe,Northern Europe,10327589,Швеция
Switzerland,Europe,Western Europe,8466017,Швейцария
Syria,Asia,Western Asia,18269868,Сирия
Taiwan*,Asia,Eastern Asia,23780452,Тайвань
Tanzania,Africa,Sub-Saharan Africa,57310019,Танзания
Thailand,Asia,South-eastern Asia,65931550,Таиланд
Timor-Leste,Asia,South-eastern Asia,1183643,Восточный Тимор
Togo,Africa,Sub-Saharan Africa,7797694,Того
Trinidad and Tobago,Americas,Latin America and the Caribbean,1369125,Тринидад и Тобаго
Tunisia,Africa,Northern Africa,11565204,Тунис
Turkey,Asia,Western Asia,82003882,Турция
US,Americas,Northern America,328239523,США
Uganda,Africa,Sub-Saharan Africa,42862958,Уганда
Ukraine,Europe,Eastern Europe,42558328,Украина
United Arab Emirates,Asia,Western Asia,9400145,Объединённые Арабские Эмираты
United Kingdom,Europe,Northern Europe,66022273,Великобритания
Uruguay,Americas,Latin America and the Caribbean,3456750,Уругвай
Uzbekistan,Asia,Central Asia,32387200,Узбекистан
Venezuela,Americas,Latin America and the Caribbean,28515829,Венесуэла
Vietnam,Asia,South-eastern Asia,94660000,Вьетнам
West Bank and Gaza,Asia,Western Asia,5190143,Западный Берег и Сектор Газа
Western Sahara,Africa,Northern Africa,567402,Западная Сахара
Yemen,Asia,Western Asia,28498683,Йемен
Zambia,Africa,Sub-Saharan Africa,17094130,Замбия
Zimbabwe,Africa,Sub-Saharan Africa,16529904,Зимбабве
